eth_time,eth_price,eth_high,eth_low,eth_24hourhigh,eth_24hourlow,eth_nexthourprice,eth_nextdayprice,eth_nextweekprice,btc_time,btc_price,btc_high,btc_low,btc_24hourhigh,btc_24hourlow,btc_nexthourprice,btc_nextdayprice,btc_nextweekprice
2022-05-02T12:00:00.000-07:00,2838.601238947393,2841.6177275235204,2800.5849143577184,2865.2685971213427,2786.722207383698,2828.3563881355753,2776.568991423762,2263.9200500406696,2022-05-02T12:00:00.000-07:00,38780.162506107234,38262.93303052658,38780.162506107234,39024.54187693,38263.4288816929,38577.9469484817,37649.679833741895,30997.155519132277
2022-05-02T13:00:00.000-07:00,2828.3563881355753,2836.0260795920435,2828.1611129306148,2865.2685971213427,2786.722207383698,2861.775427331587,2781.133113203154,2291.1516085359567,2022-05-02T13:00:00.000-07:00,38577.9469484817,38577.94694848171,38739.60532471535,39024.54187693,38263.4288816929,38696.39812985858,37724.900235538094,31048.25733838505
2022-05-02T14:00:00.000-07:00,2861.775427331587,2862.8146629717917,2829.5425569648933,2865.2685971213427,2786.722207383698,2862.26902385141,2787.254305049272,2283.2948395024446,2022-05-02T14:00:00.000-07:00,38696.39812985858,38497.276251977426,38696.39812985858,39024.54187693,38263.4288816929,38707.43145531967,37848.86337154899,30875.778435570617
2022-05-02T15:00:00.000-07:00,2862.26902385141,2871.021285229685,2860.817920933909,2871.021285229685,2786.722207383698,2859.640730381343,2790.624717742506,2293.7591657977705,2022-05-02T15:00:00.000-07:00,38707.43145531967,38707.43145531967,38815.041342325065,39024.54187693,38263.4288816929,38607.29858649615,37805.6692940024,31185.129139970035
2022-05-02T16:00:00.000-07:00,2859.640730381343,2871.600680434054,2859.4245506220636,2871.600680434054,2786.722207383698,2837.399701867061,2783.293811075091,2239.0763164832138,2022-05-02T16:00:00.000-07:00,38607.29858649615,38607.29858649615,38699.94212241202,39024.54187693,38263.4288816929,38336.595487974,37738.194908569894,30343.105230175337
2022-05-02T17:00:00.000-07:00,2837.399701867061,2855.9359600816806,2825.2525053406493,2871.600680434054,2786.722207383698,2840.844320928815,2788.350106763965,2274.435410907581,2022-05-02T17:00:00.000-07:00,38336.595487974,38279.60569736544,38511.63364222411,39024.54187693,38263.4288816929,38391.245791942194,37804.337558575935,30680.736538592188
2022-05-02T18:00:00.000-07:00,2840.844320928815,2841.4525803890465,2832.8030873903076,2871.600680434054,2786.722207383698,2839.092813459143,2788.2570411080783,2308.816535196862,2022-05-02T18:00:00.000-07:00,38391.245791942194,38389.680701806865,38391.245791942194,39024.54187693,38263.4288816929,38463.78154057163,37858.505561359816,30934.333957631246
2022-05-02T19:00:00.000-07:00,2839.092813459143,2843.7651922173477,2835.28506735008,2871.600680434054,2786.722207383698,2846.611103897521,2793.2957529712517,2322.7330981036625,2022-05-02T19:00:00.000-07:00,38463.78154057163,38411.77982197762,38474.823882729754,39024.54187693,38263.4288816929,38464.62309954385,37980.01362176647,31142.348241496424
2022-05-02T20:00:00.000-07:00,2846.611103897521,2847.2844330494627,2839.1490084732627,2871.600680434054,2786.722207383698,2845.7325811835453,2799.3651320122954,2303.8940846471073,2022-05-02T20:00:00.000-07:00,38464.62309954385,38464.62309954385,38464.62309954385,39024.54187693,38263.4288816929,38472.23132821148,37979.558352035005,30757.031590891627
2022-05-02T21:00:00.000-07:00,2845.7325811835453,2846.797810052349,2844.177242319705,2871.600680434054,2786.722207383698,2840.5093188987653,2798.1021460626944,2337.360995268797,2022-05-02T21:00:00.000-07:00,38472.23132821148,38472.23132821148,38472.23132821148,39024.54187693,38263.4288816929,38474.53848074094,37978.92902310089,31246.54957364011
2022-05-02T22:00:00.000-07:00,2840.5093188987653,2846.7275733604397,2834.6201651644124,2871.600680434054,2786.722207383698,2839.1004457465733,2795.5601225873115,2383.6989232876845,2022-05-02T22:00:00.000-07:00,38474.53848074094,38472.97349622693,38474.53848074094,38948.05402590129,38263.4288816929,38472.15952316582,38017.925906358076,31851.507914567723
2022-05-02T23:00:00.000-07:00,2839.1004457465733,2842.01213360831,2837.9535302117856,2871.600680434054,2786.722207383698,2841.8708609363816,2805.984649598056,2400.2617217352217,2022-05-02T23:00:00.000-07:00,38472.15952316582,38471.256671514195,38474.53848074094,38930.57917498103,38263.4288816929,38549.01405989529,38316.16393033957,32156.689472500726
2022-05-03T00:00:00.000-07:00,2841.8708609363816,2842.58948528075,2839.8143620163205,2871.600680434054,2786.722207383698,2846.3176171421696,2817.4131169104376,2381.364600934605,2022-05-03T00:00:00.000-07:00,38549.01405989529,38549.01405989529,38549.01405989529,38907.63295241404,38263.4288816929,38588.45667239604,38582.63445446327,31822.147697759316
2022-05-03T01:00:00.000-07:00,2846.3176171421696,2848.398752392568,2842.959765065471,2871.600680434054,2786.722207383698,2836.7187644332153,2834.971300190705,2386.53492503862,2022-05-03T01:00:00.000-07:00,38588.45667239604,38563.736921197815,38588.45667239604,38786.66399863613,38263.4288816929,38574.66054050642,38901.53756391435,31813.303802370738
2022-05-03T02:00:00.000-07:00,2836.7187644332153,2844.803333011874,2836.7187644332153,2871.600680434054,2786.722207383698,2831.4079375768088,2834.583750851547,2375.5225551659128,2022-05-03T02:00:00.000-07:00,38574.66054050642,38574.66054050642,38590.164663422685,38748.878409303616,38263.4288816929,38499.55808626024,38928.44791633757,31630.988991230275
2022-05-03T03:00:00.000-07:00,2831.4079375768088,2835.391340616794,2828.28020714036,2871.600680434054,2786.722207383698,2842.4450682591396,2859.6576570136535,2372.941560168576,2022-05-03T03:00:00.000-07:00,38499.55808626024,38499.55808626024,38559.16575920157,38748.878409303616,38263.4288816929,38491.161719671465,38991.85933376101,31486.920339255936
